,id,name,type,nodes,edges,new_edges
0,0,adjnoun,"['Informational', 'Language', 'Unweighted']",112,425,0
1,1,blumenau_drug,"['Biological', 'Drug interactions', 'Weighted', 'Metadata']",75,181,0
2,2,celegans_interactomes/BPmaps,"['Biological', 'Protein interactions', 'Unweighted']",345,400,0
3,3,ceo_club,"['Social', 'Affiliation', 'Unweighted']",40,95,0
4,4,contiguous_usa,"['Transportation', 'Roads', 'Unweighted']",49,107,0
5,5,cs_department,"['Social', 'Relationships', 'Multilayer', 'Unweighted']",61,353,0
6,6,dolphins,"['Social', 'Animal', 'Unweighted']",62,159,0
7,7,dutch_criticism,"['Social', 'Offline', 'Unweighted']",35,80,0
8,8,elite,"['Social', 'Affiliation', 'Unweighted']",44,99,0
9,9,facebook_organizations/S2,"['Social', 'Online', 'Unweighted', 'Metadata']",165,726,0
10,10,football,"['Social', 'Sports', 'Unweighted']",115,613,0
11,11,football_tsevans,"['Social', 'Sports', 'Unweighted']",115,613,0
12,12,fullerene_structures/C180,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",180,270,0
13,13,fullerene_structures/C240,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",240,360,0
14,14,fullerene_structures/C260,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",260,390,0
15,15,fullerene_structures/C320,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",320,480,0
16,16,fullerene_structures/C500,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",500,750,0
17,17,fullerene_structures/C540,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",540,810,0
18,18,fullerene_structures/C60,"['Biological', 'Chemical', 'Unweighted', 'Spatial']",60,90,0
19,19,game_thrones,"['Social', 'Fictional', 'Weighted']",107,352,0
20,20,interactome_pdz,"['Biological', 'Protein interactions', 'Unweighted']",161,209,0
21,21,kangaroo,"['Social', 'Animal', 'Weighted']",17,91,0
22,22,karate/77,"['Social', 'Offline', 'Unweighted']",34,77,0
23,23,karate/78,"['Social', 'Offline', 'Unweighted']",34,78,0
24,24,lesmis,"['Social', 'Fictional', 'Weighted']",77,254,0
25,25,london_transport,"['Transportation', 'Public Transport', 'Multilayer', 'Weighted']",369,430,0
26,26,macaque_neural,"['Biological', 'Connectome', 'Unweighted']",47,313,0
27,27,malaria_genes/HVR_3,"['Biological', 'Genetic', 'Unweighted', 'Projection', 'Metadata', 'Multilayer']",18,55,0
28,28,marvel_partnerships,"['Social', 'Fictional', 'Unweighted']",181,224,0
29,29,montreal,"['Social', 'Affiliation', 'Unweighted']",29,75,0
30,30,new_guinea_tribes,"['Social', 'Offline', 'Signed']",16,58,0
31,31,november17,"['Social', 'Offline', 'Unweighted', 'Metadata']",22,66,0
32,32,plant_pol_vazquez/All sites pooled,"['Biological', 'Food web', 'Weighted', 'Multilayer']",104,164,0
33,33,polbooks,"['Informational', 'Relatedness', 'Unweighted', 'Metadata']",105,441,0
34,34,revolution,"['Social', 'Affiliation', 'Unweighted']",141,160,0
35,35,terrorists_911,"['Social', 'Offline', 'Unweighted', 'Metadata']",62,152,0
36,36,train_terrorists,"['Social', 'Offline', 'Weighted']",64,243,0
37,37,ugandan_village/friendship-1,"['Social', 'Offline', 'Unweighted', 'Multilayer']",202,547,0
38,38,ugandan_village/friendship-2,"['Social', 'Offline', 'Unweighted', 'Multilayer']",181,688,0
39,39,ugandan_village/friendship-5,"['Social', 'Offline', 'Unweighted', 'Multilayer']",184,720,0
40,40,ugandan_village/friendship-6,"['Social', 'Offline', 'Unweighted', 'Multilayer']",139,632,0
41,41,ugandan_village/friendship-7,"['Social', 'Offline', 'Unweighted', 'Multilayer']",121,770,0
42,42,ugandan_village/friendship-12,"['Social', 'Offline', 'Unweighted', 'Multilayer']",229,872,0
43,43,ugandan_village/friendship-13,"['Social', 'Offline', 'Unweighted', 'Multilayer']",183,809,0
44,44,ugandan_village/friendship-14,"['Social', 'Offline', 'Unweighted', 'Multilayer']",124,525,0
